"","sistema_u_otro","total","tasa_mortalidad"
"1","Ciertas afecciones originadas en el período perinatal",4,9.74065505905272
"2","Ciertas enfermedades infecciosas y parasitarias",8,19.4813101181054
"3","Enfermedades de la piel y del tejido subcutáneo",1,2.43516376476318
"4","Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad",2,4.87032752952636
"5","Enfermedades del sistema circulatorio",51,124.193352002922
"6","Enfermedades del sistema digestivo",25,60.8790941190795
"7","Enfermedades del sistema genitourinario",9,21.9164738828686
"8","Enfermedades del sistema nervioso central",12,29.2219651771582
"9","Enfermedades del sistema osteomuscular y del tejido conjuntivo",1,2.43516376476318
"10","Enfermedades del sistema respiratorio",25,60.8790941190795
"11","Enfermedades endocrinas, nutricionales y metabólicas",10,24.3516376476318
"12","Malformaciones congénitas, deformidades y anomalías cromosómicas",3,7.30549129428954
"13","Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",18,43.8329477657372
"14","Trastornos mentales y del comportamiento",3,7.30549129428954
"15","Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",17,41.3977840009741
"16","Tumores [Neoplasias]",58,141.239498356264
