"","sistema_u_otro","grupo","categoria","subcategoria","total","tasa_mortalidad"
"1","Ciertas enfermedades infecciosas y parasitarias","Micosis","Aspergilosis","OTRAS ASPERGILOSIS PULMÓNARES",1,2.43516376476318
"2","Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas","Infección bacteriana de sitio no especificado","OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO",1,2.43516376476318
"3","Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas","Otras septicemias","SEPTICEMIA DEBIDA A ANAEROBIOS",1,2.43516376476318
"4","Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas","Otras septicemias","SEPTICEMIA NO ESPECIFICADA",1,2.43516376476318
"5","Códigos para propósitos especiales","Asignación provisoria de nuevas afecciones de etiología incierta","Uso emergente de U07","COVID-19 virus identificado",42,102.276878120054
"6","Códigos para propósitos especiales","Asignación provisoria de nuevas afecciones de etiología incierta","Uso emergente de U07","COVID-19 virus no identificado",8,19.4813101181054
"7","Enfermedades de la piel y del tejido subcutáneo","Otros trastornos de la piel y del tejido subcutáneo","Úlcera de de cúbito","ÚLCERA DE DECÚBITO Y POR ÁREA DE PRESIÓN NO ESPECIFICADA",3,7.30549129428954
"8","Enfermedades del sistema circulatorio","Enfermedades cardíacas reumáticas crónicas","Enfermedades valvulares múltiples","TRASTORNOS DE LAS VÁLVULAS MITRAL Y AORTICA",1,2.43516376476318
"9","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico","ACCIDENTE VASCULAR ENCEFALICO AGUDO NO ESPECIFICADO COMO HEMORRAGICO O ISQUEMICO",7,17.0461463533423
"10","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Hemorragia intraencefálica","HEMORRAGIA INTRAENCEFALICA NO ESPECIFICADA",3,7.30549129428954
"11","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Hemorragia subaracnoidea","HEMORRAGIA SUBARACNOIDEA NO ESPECIFICADA",2,4.87032752952636
"12","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Otras enfermedades cerebrovasculares","OTRAS ENFERMEDADES CEREBROVASCULARES ESPECIFICADAS",2,4.87032752952636
"13","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Otras hemorragias intracraneales no traumáticas","HEMORRAGIA SUBDURAL (AGUDA) (NO TRAUMATICA)",1,2.43516376476318
"14","Enfermedades del sistema circulatorio","Enfermedades cerebrovasculares","Secuelas de enfermedad cerebrovascular","SECUELAS DE ENFERMEDAD CEREBROVASCULAR NO ESPECIFICADA COMO HEMORRAGICA U OCLUSIVA",9,21.9164738828686
"15","Enfermedades del sistema circulatorio","Enfermedades de las arterias, de las arteriolas y de los vasos capilares","Otras enfermedades vasculares periféricas","ENFERMEDAD VASCULAR PERIFERICA NO ESPECIFICADA",1,2.43516376476318
"16","Enfermedades del sistema circulatorio","Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte","Flebitis y tromboflebitis","FLEBITIS Y TROMBOFLEBITIS DE OTROS VASOS PROFUNDOS DE LOS MIEMBROS INFERIORES",1,2.43516376476318
"17","Enfermedades del sistema circulatorio","Enfermedades de las venas y de los vasos y ganglios linfáticos, no clasificadas en otra parte","Venas varicosas de los miembros inferiores","VENAS VARICOSAS DE LOS MIEMBROS INFERIORES CON ULCERA",1,2.43516376476318
"18","Enfermedades del sistema circulatorio","Enfermedades hipertensivas","Enfermedad cardíaca hipertensiva","ENFERMEDAD CARDIACA HIPERTENSIVA CON INSUFICIENCIA CARDIACA (CONGESTIVA)",3,7.30549129428954
"19","Enfermedades del sistema circulatorio","Enfermedades hipertensivas","Enfermedad cardíaca hipertensiva","ENFERMEDAD CARDIACA HIPERTENSIVA SIN INSUFICIENCIA CARDIACA (CONGESTIVA)",3,7.30549129428954
