"sistema_u_otro","total","tasa_mortalidad"
"Ciertas afecciones originadas en el período perinatal",24,2.35398431461785
"Ciertas enfermedades infecciosas y parasitarias",116,11.3775908539863
"Códigos para propósitos especiales",1560,153.00898045016
"Embarazo, parto y puerperio",1,0.0980826797757438
"Enfermedades de la piel y del tejido subcutáneo",63,6.17920882587186
"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad",35,3.43289379215103
"Enfermedades del ojo y sus anexos",1,0.0980826797757438
"Enfermedades del sistema circulatorio",1710,167.721382416522
"Enfermedades del sistema digestivo",657,64.4403206126637
"Enfermedades del sistema genitourinario",225,22.0686029495423
"Enfermedades del sistema nervioso central",325,31.8768709271167
"Enfermedades del sistema osteomuscular y del tejido conjuntivo",37,3.62905915170252
"Enfermedades del sistema respiratorio",627,61.4978402193913
"Enfermedades endocrinas, nutricionales y metabólicas",298,29.2286385731716
"Malformaciones congénitas, deformidades y anomalías cromosómicas",28,2.74631503372083
"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",368,36.0944261574737
"Trastornos mentales y del comportamiento",202,19.8127013147002
"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",585,57.3783676688101
"Tumores [Neoplasias]",1757,172.331268365982
