"sistema_u_otro","grupo","categoria","subcategoria","total","tasa_mortalidad"
"Ciertas afecciones originadas en el período perinatal","Afecciones asociadas con la regulación tegumentaria y la temperatura del feto y del recién nacido","Otras afecciones de la piel especificas del feto y del recién nacido","HIDROPESIA FETAL NO DEBIDA A ENFERMEDAD HEMOLITICA",1,0.0980826797757438
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectados por complicaciones maternas del embarazo","FETO Y RECIEN NACIDO AFECTADOS POR INCOMPETENCIA DEL CUELLO DEL UTERINO",1,0.0980826797757438
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectados por complicaciones maternas del embarazo","FETO Y RECIEN NACIDO AFECTADOS POR OTRAS COMPLICACIONES MATERNAS DEL EMBARAZO",2,0.196165359551488
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Sepsis bacteriana del recién nacido","SEPSIS BACTERIANA DEL RECIEN NACIDO NO ESPECIFICADA",1,0.0980826797757438
"Ciertas afecciones originadas en el período perinatal","Trastornos del sistema digestivo del feto y del recién nacido","Enterocolitis necrotizante del feto y del recién nacido","ENTEROCOLITIS NECROTIZANTE DEL FETO Y DEL RECIEN NACIDO",2,0.196165359551488
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Hemorragia intracraneal no traumática del feto y del recién nacido","HEMORRAGIA INTRAVENTRICULAR (NO TRAUMATICA) DEL FETO Y DEL RECIEN NACIDO S/OTRA ESPECIFIC.",1,0.0980826797757438
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Otros trastornos hematológicos perinatales","OTROS TRASTORNOS NEONATALES TRANSITORIOS DE LA COAGULACION",1,0.0980826797757438
"Ciertas afecciones originadas en el período perinatal","Trastornos relacionados con la duración de la gestación y el crecimiento fetal","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte","INMATURIDAD EXTREMA",2,0.196165359551488
"Ciertas afecciones originadas en el período perinatal","Trastornos relacionados con la duración de la gestación y el crecimiento fetal","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte","OTROS RECIEN NACIDOS PRETERMINO",3,0.294248039327231
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Asfixia del nacimiento","ASFIXIA DEL NACIMIENTO NO ESPECIFICADA",3,0.294248039327231
