"sistema_u_otro","grupo","total","tasa_mortalidad"
"Ciertas afecciones originadas en el período perinatal","Afecciones asociadas con la regulación tegumentaria y la temperatura del feto y del recién nacido",10,0.0508172351531476
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto",76,0.386210987163922
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal",76,0.386210987163922
"Ciertas afecciones originadas en el período perinatal","Otros trastornos originados en el período perinatal",2,0.0101634470306295
"Ciertas afecciones originadas en el período perinatal","Trastornos del sistema digestivo del feto y del recién nacido",46,0.233759281704479
"Ciertas afecciones originadas en el período perinatal","Trastornos endocrinos y metabólicos transitorios específicos del feto y del recién nacido",2,0.0101634470306295
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido",18,0.0914710232756658
"Ciertas afecciones originadas en el período perinatal","Trastornos relacionados con la duración de la gestación y el crecimiento fetal",105,0.53358096910805
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal",166,0.843566103542251
"Ciertas enfermedades infecciosas y parasitarias","Ciertas zoonosis bacterianas",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]",228,1.15863296149177
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades debidas a protozoarios",81,0.411619604740496
"Ciertas enfermedades infecciosas y parasitarias","Enfermedades infecciosas intestinales",307,1.56008911920163
"Ciertas enfermedades infecciosas y parasitarias","Helmintiasis",11,0.0558989586684624
"Ciertas enfermedades infecciosas y parasitarias","Hepatitis viral",32,0.162615152490072
"Ciertas enfermedades infecciosas y parasitarias","Infecciones con modo de transmisión predominantemente sexual",5,0.0254086175765738
"Ciertas enfermedades infecciosas y parasitarias","infecciones del sistema nervioso central",105,0.53358096910805
"Ciertas enfermedades infecciosas y parasitarias","Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas",19,0.0965527467909805
"Ciertas enfermedades infecciosas y parasitarias","Micosis",56,0.284576516857627
"Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades bacterianas",1077,5.473016225994
"Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades infecciosas",25,0.127043087882869
"Ciertas enfermedades infecciosas y parasitarias","Otras enfermedades virales",36,0.182942046551332
"Ciertas enfermedades infecciosas y parasitarias","Secuelas de enfermedades infecciosas y parasitarias",61,0.309985134434201
"Ciertas enfermedades infecciosas y parasitarias","Tuberculosis",232,1.17895985555303
"Códigos para propósitos especiales","Asignación provisoria de nuevas afecciones de etiología incierta",27985,142.212032576084
"Embarazo, parto y puerperio","Atención materna relacionada con el feto y la cavidad amniótica y con posibles problemas del parto",2,0.0101634470306295
"Embarazo, parto y puerperio","Complicaciones del trabajo de parto y del parto",1,0.00508172351531476
"Embarazo, parto y puerperio","Complicaciones principalmente relacionadas con el puerperio",2,0.0101634470306295
"Embarazo, parto y puerperio","Edema, proteinuria y trastornos hipertensivos en el embarazo, el parto y el puerperio",2,0.0101634470306295
"Embarazo, parto y puerperio","Embarazo terminado en aborto",6,0.0304903410918886
"Embarazo, parto y puerperio","Otras afecciones obstétricas no clasificadas en otra parte",25,0.127043087882869
"Embarazo, parto y puerperio","Otros trastornos maternos relacionados principalmente con el embarazo",1,0.00508172351531476
