"sistema_u_otro","grupo","categoria","total","tasa_mortalidad"
"Ciertas afecciones originadas en el período perinatal","Afecciones asociadas con la regulación tegumentaria y la temperatura del feto y del recién nacido","Otras afecciones de la piel especificas del feto y del recién nacido",10,0.0508172351531476
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas",27,0.137206534913499
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectado por condiciones de la madre no necesariamente relacionadas con el embarazo presente",5,0.0254086175765738
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectados por complicaciones maternas del embarazo",43,0.218514111158535
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectados por otras complicaciones del trabajo de parto y del parto",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Enfermedades virales congénitas",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Onfalitis del recién nacido con o sin hemorragia leve",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Otras enfermedades infecciosas y parasitarias congénitas",2,0.0101634470306295
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Otras infecciones especificas del período perinatal",30,0.152451705459443
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Sepsis bacteriana del recién nacido",42,0.21343238764322
"Ciertas afecciones originadas en el período perinatal","Otros trastornos originados en el período perinatal","Convulsiones del recién nacido",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Otros trastornos originados en el período perinatal","Otras alteraciones cerebrales del recién nacido",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos del sistema digestivo del feto y del recién nacido","Enterocolitis necrotizante del feto y del recién nacido",33,0.167696876005387
"Ciertas afecciones originadas en el período perinatal","Trastornos del sistema digestivo del feto y del recién nacido","Otros trastornos perinatales del sistema digestivo",13,0.0660624056990919
"Ciertas afecciones originadas en el período perinatal","Trastornos endocrinos y metabólicos transitorios específicos del feto y del recién nacido","Trastornos transitorios del metabolismo de los carbohidratos específicos del feto y del recién nacido",2,0.0101634470306295
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Coagulación intravascular diseminada en el feto y el recién nacido",3,0.0152451705459443
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Hemorragia intracraneal no traumática del feto y del recién nacido",7,0.0355720646072034
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Ictericia neonatal por otras causas y por las no especificadas",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Otras hemorragias neonatales",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Trastornos hemorrágicos y hematológicos del feto y del recién nacido","Otros trastornos hematológicos perinatales",6,0.0304903410918886
"Ciertas afecciones originadas en el período perinatal","Trastornos relacionados con la duración de la gestación y el crecimiento fetal","Retardo del crecimiento fetal y desnutrición fetal",3,0.0152451705459443
"Ciertas afecciones originadas en el período perinatal","Trastornos relacionados con la duración de la gestación y el crecimiento fetal","Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",102,0.518335798562106
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Asfixia del nacimiento",35,0.177860323036017
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Dificultad respiratoria del recién nacido",44,0.22359583467385
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Enfermedad respiratoria crónica originada en el período perinatal",8,0.0406537881225181
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Enfisema intersticial y afecciones relacionadas, originadas en el período perinatal",3,0.0152451705459443
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Hemorragia pulmonar originada en el período perinatal",21,0.10671619382161
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Neumonía congénita",5,0.0254086175765738
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Otros problemas respiratorios del recién nacido, originados en el período perinatal",28,0.142288258428813
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Síndromes de aspiración neonatal",5,0.0254086175765738
"Ciertas afecciones originadas en el período perinatal","Trastornos respiratorios y cardiovasculares específicos del período perinatal","Trastornos cardiovasculares originados en el período perinatal",17,0.086389299760351
"Ciertas enfermedades infecciosas y parasitarias","Ciertas zoonosis bacterianas","Leptospirosis",1,0.00508172351531476
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante  en tumores malignos",35,0.177860323036017
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias",102,0.518335798562106
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras afecciones",16,0.0813075762450362
"Ciertas enfermedades infecciosas y parasitarias","Enfermedad por virus de la inmunodeficiencia humana [VIH]","Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras enfermedades especificadas",27,0.137206534913499
