"sistema_u_otro","grupo","categoria","subcategoria","total","tasa_mortalidad"
"Ciertas afecciones originadas en el período perinatal","Afecciones asociadas con la regulación tegumentaria y la temperatura del feto y del recién nacido","Otras afecciones de la piel especificas del feto y del recién nacido","HIDROPESIA FETAL NO DEBIDA A ENFERMEDAD HEMOLITICA",8,0.0406537881225181
"Ciertas afecciones originadas en el período perinatal","Afecciones asociadas con la regulación tegumentaria y la temperatura del feto y del recién nacido","Otras afecciones de la piel especificas del feto y del recién nacido","OTROS EDEMAS Y LOS NO ESPECIFICADOS PROPIOS DEL FETO Y DEL RECIEN NACIDO",2,0.0101634470306295
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas","FETO Y REC.NAC.AFECT.POR OTRAS ANORMALIDADES MORFOLOG.Y FUNC.DE PLACENTA Y LAS NO ESPECIF.",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas","FETO Y REC.NAC.AFECT.POR OTRAS FORMAS DE DESPRENDIMIENTO Y DE HEMORRAGIA PLACENTARIOS",11,0.0558989586684624
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas","FETO Y RECIEN NACIDO AFECTADOS POR CORIOAMNIONITIS",12,0.0609806821837772
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas","FETO Y RECIEN NACIDO AFECTADOS POR OTRA COMPRESION DEL CORDON UMBILICAL",2,0.0101634470306295
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas","FETO Y RECIEN NACIDO AFECTADOS POR OTRAS ANORMALIDADES DE LAS MEMBRANAS",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectado por condiciones de la madre no necesariamente relacionadas con el embarazo presente","FETO Y RECIEN NACIDO AFECTADOS POR ENFERMEDADES INFECCIOSAS Y PARASITARIAS DE LA MADRE",2,0.0101634470306295
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectado por condiciones de la madre no necesariamente relacionadas con el embarazo presente","FETO Y RECIEN NACIDO AFECTADOS POR OTRAS AFECCIONES MATERNAS",2,0.0101634470306295
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectado por condiciones de la madre no necesariamente relacionadas con el embarazo presente","FETO Y RECIEN NACIDO AFECTADOS POR TRASTORNOS HIPERTENSIVOS DE LA MADRE",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectados por complicaciones maternas del embarazo","FETO Y RECIEN NACIDO AFECTADOS POR EMBARAZO MULTIPLE",3,0.0152451705459443
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectados por complicaciones maternas del embarazo","FETO Y RECIEN NACIDO AFECTADOS POR INCOMPETENCIA DEL CUELLO DEL UTERINO",5,0.0254086175765738
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectados por complicaciones maternas del embarazo","FETO Y RECIEN NACIDO AFECTADOS POR OLIGOHIDRAMNIOS",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectados por complicaciones maternas del embarazo","FETO Y RECIEN NACIDO AFECTADOS POR OTRAS COMPLICACIONES MATERNAS DEL EMBARAZO",14,0.0711441292144067
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectados por complicaciones maternas del embarazo","FETO Y RECIEN NACIDO AFECTADOS POR RUPTURA PREMATURA DE LAS MEMBRANAS",20,0.101634470306295
"Ciertas afecciones originadas en el período perinatal","Feto y recién nacido afectados por factores maternos y por complicaciones del embarazo, del trabajo de parto y del parto","Feto y recién nacido afectados por otras complicaciones del trabajo de parto y del parto","FETO Y RECIEN NACIDO AFECTADOS POR PARTO Y EXTRACCION DE NALGAS",1,0.00508172351531476
"Ciertas afecciones originadas en el período perinatal","Infecciones específicas del período perinatal","Enfermedades virales congénitas","INFECCION CITOMEGALOVIRICA CONGENITA",1,0.00508172351531476
